row	Branches	BB	CGB	CGR	IIB	ITEB	LGS	LTG	MEB	OD	OEEB	REB
100	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
101	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
102	REB	false	false	false	false	false	false	false	false	false	false	true
103	REB	false	false	false	false	false	false	false	false	false	false	true
104	BB	true	false	false	false	false	false	false	false	false	false	false
105	MEB	false	false	false	false	false	false	false	true	false	false	false
106	none	false	false	false	false	false	false	false	false	false	false	false
107	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
108	LTG,OEEB	false	false	false	false	false	false	true	false	false	true	false
109	CGB	false	true	false	false	false	false	false	false	false	false	false
110	OD,LGS,ITEB,MEB	false	false	false	false	true	true	false	true	true	false	false
111	OEEB	false	false	false	false	false	false	false	false	false	true	false
112	CGB	false	true	false	false	false	false	false	false	false	false	false
113	none	false	false	false	false	false	false	false	false	false	false	false
114	BB	true	false	false	false	false	false	false	false	false	false	false
115	CGB	false	true	false	false	false	false	false	false	false	false	false
116	MEB	false	false	false	false	false	false	false	true	false	false	false
117	MEB	false	false	false	false	false	false	false	true	false	false	false
118	CGB	false	true	false	false	false	false	false	false	false	false	false
119	OEEB	false	false	false	false	false	false	false	false	false	true	false
120	REB	false	false	false	false	false	false	false	false	false	false	true
121	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
122	BB,IIB,MEB	true	false	false	true	false	false	false	true	false	false	false
123	REB	false	false	false	false	false	false	false	false	false	false	true
124	OD,CGR,BB	true	false	true	false	false	false	false	false	true	false	false
125	MEB	false	false	false	false	false	false	false	true	false	false	false
126	OEEB	false	false	false	false	false	false	false	false	false	true	false
127	OD,LGS,MEB,OEEB	false	false	false	false	false	true	false	true	true	true	false
128	OEEB	false	false	false	false	false	false	false	false	false	true	false
129	MEB	false	false	false	false	false	false	false	true	false	false	false
130	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
131	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
132	OEEB	false	false	false	false	false	false	false	false	false	true	false
133	BB,MEB,OEEB	true	false	false	false	false	false	false	true	false	true	false
134	IIB,REB	false	false	false	true	false	false	false	false	false	false	true
135	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
136	OD,BB,MEB	true	false	false	false	false	false	false	true	true	false	false
137	OD,CGR,BB,CGB,MEB	true	true	true	false	false	false	false	true	true	false	false
138	IIB	false	false	false	true	false	false	false	false	false	false	false
139	CGB	false	true	false	false	false	false	false	false	false	false	false
140	MEB	false	false	false	false	false	false	false	true	false	false	false
141	IIB	false	false	false	true	false	false	false	false	false	false	false
142	CGB	false	true	false	false	false	false	false	false	false	false	false
143	OD,LGS,OEEB	false	false	false	false	false	true	false	false	true	true	false
144	BB,LTG	true	false	false	false	false	false	true	false	false	false	false
145	BB	true	false	false	false	false	false	false	false	false	false	false
146	OD,BB,IIB,MEB	true	false	false	true	false	false	false	true	true	false	false
147	CGB	false	true	false	false	false	false	false	false	false	false	false
148	OEEB	false	false	false	false	false	false	false	false	false	true	false
149	BB	true	false	false	false	false	false	false	false	false	false	false
150	MEB	false	false	false	false	false	false	false	true	false	false	false
151	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
152	OD,LGS,LTG,MEB	false	false	false	false	false	true	true	true	true	false	false
153	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
154	OEEB	false	false	false	false	false	false	false	false	false	true	false
155	OEEB	false	false	false	false	false	false	false	false	false	true	false
156	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
157	LTG	false	false	false	false	false	false	true	false	false	false	false
158	ITEB	false	false	false	false	true	false	false	false	false	false	false
159	BB,ITEB,LTG,OEEB	true	false	false	false	true	false	true	false	false	true	false
160	OD,CGR,BB,CGB,LTG	true	true	true	false	false	false	true	false	true	false	false
161	ITEB,REB	false	false	false	false	true	false	false	false	false	false	true
162	MEB	false	false	false	false	false	false	false	true	false	false	false
163	MEB	false	false	false	false	false	false	false	true	false	false	false
164	none	false	false	false	false	false	false	false	false	false	false	false
165	MEB	false	false	false	false	false	false	false	true	false	false	false
166	CGB	false	true	false	false	false	false	false	false	false	false	false
167	REB	false	false	false	false	false	false	false	false	false	false	true
168	CGB	false	true	false	false	false	false	false	false	false	false	false
169	none	false	false	false	false	false	false	false	false	false	false	false
170	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
171	CGB,ITEB,MEB	false	true	false	false	true	false	false	true	false	false	false
172	OEEB	false	false	false	false	false	false	false	false	false	true	false
173	REB	false	false	false	false	false	false	false	false	false	false	true
174	ITEB	false	false	false	false	true	false	false	false	false	false	false
175	CGB	false	true	false	false	false	false	false	false	false	false	false
176	none	false	false	false	false	false	false	false	false	false	false	false
177	REB	false	false	false	false	false	false	false	false	false	false	true
178	OD,LGS,BB,LTG,MEB,OEEB	true	false	false	false	false	true	true	true	true	true	false
179	BB	true	false	false	false	false	false	false	false	false	false	false
180	OEEB	false	false	false	false	false	false	false	false	false	true	false
181	CGB	false	true	false	false	false	false	false	false	false	false	false
182	CGB	false	true	false	false	false	false	false	false	false	false	false
183	OD,LGS	false	false	false	false	false	true	false	false	true	false	false
184	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
185	IIB	false	false	false	true	false	false	false	false	false	false	false
186	MEB	false	false	false	false	false	false	false	true	false	false	false
187	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
188	MEB	false	false	false	false	false	false	false	true	false	false	false
189	OEEB	false	false	false	false	false	false	false	false	false	true	false
190	IIB	false	false	false	true	false	false	false	false	false	false	false
191	OEEB	false	false	false	false	false	false	false	false	false	true	false
192	BB	true	false	false	false	false	false	false	false	false	false	false
193	none	false	false	false	false	false	false	false	false	false	false	false
194	BB,IIB,LTG	true	false	false	true	false	false	true	false	false	false	false
195	REB	false	false	false	false	false	false	false	false	false	false	true
196	REB	false	false	false	false	false	false	false	false	false	false	true
197	none	false	false	false	false	false	false	false	false	false	false	false
198	IIB	false	false	false	true	false	false	false	false	false	false	false
199	none	false	false	false	false	false	false	false	false	false	false	false
200	BB,ITEB,MEB,OEEB	true	false	false	false	true	false	false	true	false	true	false
201	LTG,REB	false	false	false	false	false	false	true	false	false	false	true
202	none	false	false	false	false	false	false	false	false	false	false	false
203	OEEB	false	false	false	false	false	false	false	false	false	true	false
204	none	false	false	false	false	false	false	false	false	false	false	false
205	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
206	OEEB,ITEB,OD,LGS,CGR,MEB,BB	true	false	true	false	true	true	false	true	true	true	false
207	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
208	IIB,MEB	false	false	false	true	false	false	false	true	false	false	false
209	CGB	false	true	false	false	false	false	false	false	false	false	false
210	OEEB	false	false	false	false	false	false	false	false	false	true	false
211	ITEB,REB	false	false	false	false	true	false	false	false	false	false	true
212	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
213	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
214	MEB	false	false	false	false	false	false	false	true	false	false	false
215	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
216	ITEB	false	false	false	false	true	false	false	false	false	false	false
217	REB	false	false	false	false	false	false	false	false	false	false	true
218	BB,REB,CGB,IIB	true	true	false	true	false	false	false	false	false	false	true
219	OEEB	false	false	false	false	false	false	false	false	false	true	false
220	OD,CGR,LGS,ITEB,LTG,MEB,OEEB	false	false	true	false	true	true	true	true	true	true	false
221	OD,CGR,BB,CGB,ITEB	true	true	true	false	true	false	false	false	true	false	false
222	IIB	false	false	false	true	false	false	false	false	false	false	false
223	MEB	false	false	false	false	false	false	false	true	false	false	false
224	BB,CGB,REB	true	true	false	false	false	false	false	false	false	false	true
225	OEEB	false	false	false	false	false	false	false	false	false	true	false
226	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
227	LTG	false	false	false	false	false	false	true	false	false	false	false
228	BB	true	false	false	false	false	false	false	false	false	false	false
229	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
230	MEB,OD	false	false	false	false	false	false	false	true	true	false	false
231	OD,CGB,IIB	false	true	false	true	false	false	false	false	true	false	false
232	OEEB	false	false	false	false	false	false	false	false	false	true	false
233	REB	false	false	false	false	false	false	false	false	false	false	true
234	OEEB	false	false	false	false	false	false	false	false	false	true	false
235	IIB	false	false	false	true	false	false	false	false	false	false	false
236	OD,CGR,CGB,ITEB	false	true	true	false	true	false	false	false	true	false	false
237	CGB	false	true	false	false	false	false	false	false	false	false	false
238	MEB	false	false	false	false	false	false	false	true	false	false	false
239	MEB	false	false	false	false	false	false	false	true	false	false	false
240	IIB	false	false	false	true	false	false	false	false	false	false	false
241	CGB	false	true	false	false	false	false	false	false	false	false	false
242	REB	false	false	false	false	false	false	false	false	false	false	true
243	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
244	IIB,ITEB,MEB	false	false	false	true	true	false	false	true	false	false	false
245	REB	false	false	false	false	false	false	false	false	false	false	true
246	MEB	false	false	false	false	false	false	false	true	false	false	false
247	OEEB	false	false	false	false	false	false	false	false	false	true	false
248	ITEB,MEB	false	false	false	false	true	false	false	true	false	false	false
249	BB,IIB,MEB,REB	true	false	false	true	false	false	false	true	false	false	true
250	OEEB	false	false	false	false	false	false	false	false	false	true	false
251	CGB	false	true	false	false	false	false	false	false	false	false	false
252	IIB,REB	false	false	false	true	false	false	false	false	false	false	true
253	ITEB,REB	false	false	false	false	true	false	false	false	false	false	true
254	CGB,IIB	false	true	false	true	false	false	false	false	false	false	false
255	ITEB,OD,LGS,BB,CGR	true	false	true	false	true	true	false	false	true	false	false
256	BB,MEB,REB	true	false	false	false	false	false	false	true	false	false	true
257	CGB	false	true	false	false	false	false	false	false	false	false	false
258	LTG	false	false	false	false	false	false	true	false	false	false	false
259	BB	true	false	false	false	false	false	false	false	false	false	false
260	OEEB	false	false	false	false	false	false	false	false	false	true	false
261	CGB,MEB	false	true	false	false	false	false	false	true	false	false	false
262	ITEB	false	false	false	false	true	false	false	false	false	false	false
263	MEB	false	false	false	false	false	false	false	true	false	false	false
264	OD,BB,CGB	true	true	false	false	false	false	false	false	true	false	false
265	ITEB	false	false	false	false	true	false	false	false	false	false	false
266	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
267	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
268	BB,ITEB	true	false	false	false	true	false	false	false	false	false	false
269	REB	false	false	false	false	false	false	false	false	false	false	true
270	BB,CGB,IIB	true	true	false	true	false	false	false	false	false	false	false
271	OEEB	false	false	false	false	false	false	false	false	false	true	false
272	CGB	false	true	false	false	false	false	false	false	false	false	false
273	BB,IIB,OEEB	true	false	false	true	false	false	false	false	false	true	false
274	BB	true	false	false	false	false	false	false	false	false	false	false
275	REB	false	false	false	false	false	false	false	false	false	false	true
276	none	false	false	false	false	false	false	false	false	false	false	false
277	OEEB	false	false	false	false	false	false	false	false	false	true	false
278	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
279	OD,CGR,BB,IIB	true	false	true	true	false	false	false	false	true	false	false
280	IIB,CGB	false	true	false	true	false	false	false	false	false	false	false
281	BB,OD,CGB	true	true	false	false	false	false	false	false	true	false	false
282	MEB	false	false	false	false	false	false	false	true	false	false	false
283	OEEB	false	false	false	false	false	false	false	false	false	true	false
284	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
285	REB	false	false	false	false	false	false	false	false	false	false	true
286	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
287	IIB,CGB	false	true	false	true	false	false	false	false	false	false	false
288	REB	false	false	false	false	false	false	false	false	false	false	true
289	BB	true	false	false	false	false	false	false	false	false	false	false
290	BB	true	false	false	false	false	false	false	false	false	false	false
291	IIB,OD	false	false	false	true	false	false	false	false	true	false	false
292	IIB,OD,CGR	false	false	true	true	false	false	false	false	true	false	false
293	OEEB	false	false	false	false	false	false	false	false	false	true	false
294	REB	false	false	false	false	false	false	false	false	false	false	true
295	OEEB	false	false	false	false	false	false	false	false	false	true	false
296	MEB,IIB	false	false	false	true	false	false	false	true	false	false	false
297	none	false	false	false	false	false	false	false	false	false	false	false
298	OD,CGR,LGS,BB,ITEB,LTG,OEEB	true	false	true	false	true	true	true	false	true	true	false
299	MEB,IIB	false	false	false	true	false	false	false	true	false	false	false
300	OEEB	false	false	false	false	false	false	false	false	false	true	false
301	OD,BB,CGB,IIB	true	true	false	true	false	false	false	false	true	false	false
302	REB	false	false	false	false	false	false	false	false	false	false	true
303	MEB	false	false	false	false	false	false	false	true	false	false	false
304	IIB,CGB	false	true	false	true	false	false	false	false	false	false	false
305	OD,BB,IIB,MEB	true	false	false	true	false	false	false	true	true	false	false
306	OEEB	false	false	false	false	false	false	false	false	false	true	false
307	BB,ITEB,LTG,OEEB	true	false	false	false	true	false	true	false	false	true	false
308	OEEB	false	false	false	false	false	false	false	false	false	true	false
309	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
310	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
311	ITEB	false	false	false	false	true	false	false	false	false	false	false
312	BB,ITEB	true	false	false	false	true	false	false	false	false	false	false
313	REB	false	false	false	false	false	false	false	false	false	false	true
314	MEB	false	false	false	false	false	false	false	true	false	false	false
315	BB,REB,CGB	true	true	false	false	false	false	false	false	false	false	true
316	OD,CGR,LGS,ITEB,OEEB,REB	false	false	true	false	true	true	false	false	true	true	true
317	OD,CGR,LGS,BB,ITEB,MEB	true	false	true	false	true	true	false	true	true	false	false
318	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
319	OEEB,MEB	false	false	false	false	false	false	false	true	false	true	false
320	OD,CGR,BB,CGB,IIB,MEB	true	true	true	true	false	false	false	true	true	false	false
321	OEEB	false	false	false	false	false	false	false	false	false	true	false
322	REB	false	false	false	false	false	false	false	false	false	false	true
323	IIB	false	false	false	true	false	false	false	false	false	false	false
324	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
325	OEEB	false	false	false	false	false	false	false	false	false	true	false
326	REB	false	false	false	false	false	false	false	false	false	false	true
327	MEB,OD,OEEB,LGS,CGR,ITEB	false	false	true	false	true	true	false	true	true	true	false
328	BB	true	false	false	false	false	false	false	false	false	false	false
329	BB,IIB,MEB	true	false	false	true	false	false	false	true	false	false	false
330	MEB	false	false	false	false	false	false	false	true	false	false	false
331	CGB,ITEB,MEB	false	true	false	false	true	false	false	true	false	false	false
332	CGB	false	true	false	false	false	false	false	false	false	false	false
333	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
334	MEB,BB,OD,OEEB	true	false	false	false	false	false	false	true	true	true	false
335	BB,ITEB	true	false	false	false	true	false	false	false	false	false	false
336	BB,IIB,MEB	true	false	false	true	false	false	false	true	false	false	false
337	OEEB	false	false	false	false	false	false	false	false	false	true	false
338	ITEB,MEB	false	false	false	false	true	false	false	true	false	false	false
339	OEEB,MEB,IIB	false	false	false	true	false	false	false	true	false	true	false
340	BB,CGB,IIB	true	true	false	true	false	false	false	false	false	false	false
341	ITEB,MEB	false	false	false	false	true	false	false	true	false	false	false
342	OD,CGR,LTG	false	false	true	false	false	false	true	false	true	false	false
343	CGB	false	true	false	false	false	false	false	false	false	false	false
344	OD,MEB	false	false	false	false	false	false	false	true	true	false	false
345	OD,CGR,BB,ITEB,MEB,OEEB	true	false	true	false	true	false	false	true	true	true	false
346	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
347	OD,CGR,CGB	false	true	true	false	false	false	false	false	true	false	false
348	MEB	false	false	false	false	false	false	false	true	false	false	false
349	MEB	false	false	false	false	false	false	false	true	false	false	false
350	REB	false	false	false	false	false	false	false	false	false	false	true
351	CGB,IIB,MEB	false	true	false	true	false	false	false	true	false	false	false
352	OEEB	false	false	false	false	false	false	false	false	false	true	false
353	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
354	MEB	false	false	false	false	false	false	false	true	false	false	false
355	none	false	false	false	false	false	false	false	false	false	false	false
356	BB	true	false	false	false	false	false	false	false	false	false	false
357	CGB	false	true	false	false	false	false	false	false	false	false	false
358	CGB	false	true	false	false	false	false	false	false	false	false	false
359	OD,LGS,BB,ITEB,OEEB	true	false	false	false	true	true	false	false	true	true	false
360	CGB	false	true	false	false	false	false	false	false	false	false	false
361	IIB,MEB,OEEB	false	false	false	true	false	false	false	true	false	true	false
362	BB	true	false	false	false	false	false	false	false	false	false	false
363	ITEB	false	false	false	false	true	false	false	false	false	false	false
364	CGB	false	true	false	false	false	false	false	false	false	false	false
365	CGB	false	true	false	false	false	false	false	false	false	false	false
366	MEB	false	false	false	false	false	false	false	true	false	false	false
367	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
368	OEEB	false	false	false	false	false	false	false	false	false	true	false
369	LTG,REB	false	false	false	false	false	false	true	false	false	false	true
370	OEEB,REB	false	false	false	false	false	false	false	false	false	true	true
371	OEEB	false	false	false	false	false	false	false	false	false	true	false
372	OEEB	false	false	false	false	false	false	false	false	false	true	false
373	OD,LGS,CGB,LTG,MEB,OEEB	false	true	false	false	false	true	true	true	true	true	false
374	OEEB,MEB,BB	true	false	false	false	false	false	false	true	false	true	false
375	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
376	MEB,IIB,BB	true	false	false	true	false	false	false	true	false	false	false
377	MEB	false	false	false	false	false	false	false	true	false	false	false
378	CGB,ITEB	false	true	false	false	true	false	false	false	false	false	false
379	none	false	false	false	false	false	false	false	false	false	false	false
380	none	false	false	false	false	false	false	false	false	false	false	false
381	none	false	false	false	false	false	false	false	false	false	false	false
382	BB,MEB,REB	true	false	false	false	false	false	false	true	false	false	true
383	OD,LGS	false	false	false	false	false	true	false	false	true	false	false
384	OEEB,ITEB	false	false	false	false	true	false	false	false	false	true	false
385	none	false	false	false	false	false	false	false	false	false	false	false
386	MEB	false	false	false	false	false	false	false	true	false	false	false
387	IIB	false	false	false	true	false	false	false	false	false	false	false
388	none	false	false	false	false	false	false	false	false	false	false	false
389	OEEB,BB,ITEB	true	false	false	false	true	false	false	false	false	true	false
390	CGB	false	true	false	false	false	false	false	false	false	false	false
391	OD,LGS,ITEB,OEEB	false	false	false	false	true	true	false	false	true	true	false
392	IIB	false	false	false	true	false	false	false	false	false	false	false
393	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
394	BB,IIB,MEB,OEEB	true	false	false	true	false	false	false	true	false	true	false
395	ITEB,REB	false	false	false	false	true	false	false	false	false	false	true
396	IIB,MEB	false	false	false	true	false	false	false	true	false	false	false
397	ITEB,MEB,REB	false	false	false	false	true	false	false	true	false	false	true
398	CGB	false	true	false	false	false	false	false	false	false	false	false
399	OD,OEEB,LGS,ITEB	false	false	false	false	true	true	false	false	true	true	false
400	MEB,REB	false	false	false	false	false	false	false	true	false	false	true
401	CGB	false	true	false	false	false	false	false	false	false	false	false
402	OD,LGS,MEB,OEEB	false	false	false	false	false	true	false	true	true	true	false
403	OD,CGR,LTG,LGS,MEB,OEEB,ITEB	false	false	true	false	true	true	true	true	true	true	false
404	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
405	REB,ITEB,IIB	false	false	false	true	true	false	false	false	false	false	true
406	CGB,REB	false	true	false	false	false	false	false	false	false	false	true
407	OEEB	false	false	false	false	false	false	false	false	false	true	false
408	IIB,OEEB,MEB	false	false	false	true	false	false	false	true	false	true	false
409	CGB	false	true	false	false	false	false	false	false	false	false	false
410	CGB	false	true	false	false	false	false	false	false	false	false	false
411	MEB,ITEB	false	false	false	false	true	false	false	true	false	false	false
412	BB,OD,CGR	true	false	true	false	false	false	false	false	true	false	false
413	BB	true	false	false	false	false	false	false	false	false	false	false
414	BB	true	false	false	false	false	false	false	false	false	false	false
415	BB	true	false	false	false	false	false	false	false	false	false	false
416	OD,CGR,BB,CGB,MEB	true	true	true	false	false	false	false	true	true	false	false
417	ITEB	false	false	false	false	true	false	false	false	false	false	false
418	MEB	false	false	false	false	false	false	false	true	false	false	false
419	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
420	BB,MEB,OEEB	true	false	false	false	false	false	false	true	false	true	false
421	MEB	false	false	false	false	false	false	false	true	false	false	false
422	MEB	false	false	false	false	false	false	false	true	false	false	false
423	BB	true	false	false	false	false	false	false	false	false	false	false
424	REB	false	false	false	false	false	false	false	false	false	false	true
425	MEB	false	false	false	false	false	false	false	true	false	false	false
426	IIB	false	false	false	true	false	false	false	false	false	false	false
427	ITEB,OEEB,BB,MEB,OD,LGS,REB	true	false	false	false	true	true	false	true	true	true	true
428	none	false	false	false	false	false	false	false	false	false	false	false
429	none	false	false	false	false	false	false	false	false	false	false	false
430	MEB,OEEB	false	false	false	false	false	false	false	true	false	true	false
431	REB,CGB	false	true	false	false	false	false	false	false	false	false	true
432	none	false	false	false	false	false	false	false	false	false	false	false
433	BB	true	false	false	false	false	false	false	false	false	false	false
